id;clave;name;first_surname;second_surname;created_date;last_modified_date;status_id;created_id
1;32296;during clean below;frosty onto;oh eek;2024-09-04T22:54:59;2024-09-04T06:44:14;1;1
2;29623;temp;modulo distribute;punctually yahoo till;2024-09-05T00:48:32;2024-09-04T16:26:44;2;2
3;2119;sharply petitioner;long-term;daintily ick violently;2024-09-04T19:55:03;2024-09-04T06:07:21;3;1
4;27255;bongo;ready admission amidst;proper;2024-09-04T14:12:58;2024-09-04T23:47:37;4;1
5;14732;but hit dedicate;fee gosh;aboard vastly monstrous;2024-09-04T12:32:49;2024-09-04T20:02:27;5;1
6;19109;like;gadzooks;coat gee;2024-09-04T06:48:13;2024-09-04T08:48:41;6;1
7;24076;supportive;chat;gee whole;2024-09-04T16:53:31;2024-09-04T17:57:44;7;1
8;25391;bourgeoisie previous bah;atop;wherever;2024-09-05T02:42:47;2024-09-05T00:29:29;8;2
9;26523;worth wolf aside;definite;truthfully unless if;2024-09-04T15:40:14;2024-09-04T21:24:27;9;2
10;7231;via gee hm;gaseous;inhabitant hence;2024-09-05T03:52:48;2024-09-04T07:26:02;10;2
